query_appid,query_game,rich_text_rank,appid,recommended_game,rich_text_score,release_date,release_year,genres,recommendations,pct_pos_total,num_reviews_total,peak_ccu
1174180,Red Dead Redemption 2,27,821330,Mob War Nazi Golds,0.097469,2018-04-04,2018,"['Action', 'Indie']",0,50.0,20.0,0
1174180,Red Dead Redemption 2,28,300380,Road Redemption,0.095901,2017-10-04,2017,"['Action', 'Adventure', 'Indie', 'Racing', 'Simulation']",9945,82.0,9920.0,55
1174180,Red Dead Redemption 2,29,3240220,Grand Theft Auto V Enhanced,0.095063,2025-03-04,2025,"['Action', 'Adventure', 'Racing']",15444,54.0,19644.0,127949
1174180,Red Dead Redemption 2,30,331600,One Piece Pirate Warriors 3,0.094764,2015-08-27,2015,['Action'],7983,80.0,7986.0,36
1174180,Red Dead Redemption 2,31,2457220,Avowed,0.094747,2025-02-18,2025,['RPG'],7431,77.0,7483.0,2844
1174180,Red Dead Redemption 2,32,1529290,Prison Wars,0.094466,2022-03-30,2022,"['Casual', 'Free To Play', 'Massively Multiplayer', 'RPG']",0,78.0,28.0,0
1174180,Red Dead Redemption 2,33,1850570,DEATH STRANDING DIRECTOR'S CUT,0.094324,2022-03-30,2022,"['Action', 'Adventure']",25352,92.0,25639.0,1219
1174180,Red Dead Redemption 2,34,262450,Dead Man's Draw,0.092868,2014-02-06,2014,"['Casual', 'Indie', 'Strategy']",433,83.0,433.0,0
1174180,Red Dead Redemption 2,35,856760,Gachi Gang,0.092798,2018-05-27,2018,"['Nudity', 'Adventure', 'Casual', 'Indie']",0,54.0,22.0,0
1174180,Red Dead Redemption 2,36,623090,BAJA: Edge of Control HD,0.091942,2017-09-14,2017,"['Racing', 'Sports']",325,81.0,325.0,3
1174180,Red Dead Redemption 2,37,598550,HUNTDOWN,0.09181,2021-05-12,2021,"['Action', 'Indie']",3313,94.0,3319.0,17
1174180,Red Dead Redemption 2,38,1908730,Playtime with Hoogie,0.091802,2022-11-11,2022,"['Action', 'Casual', 'Indie', 'Strategy']",0,63.0,19.0,0
1174180,Red Dead Redemption 2,39,2399830,ARK: Survival Ascended,0.091347,2023-10-25,2023,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",64893,59.0,65032.0,28394
1174180,Red Dead Redemption 2,40,1516450,Red Mist: Rivers of Blood,0.090343,2021-01-23,2021,"['Action', 'Adventure', 'Indie']",0,,0.0,0
1174180,Red Dead Redemption 2,41,1583230,High On Life,0.089895,2022-12-13,2022,"['Action', 'Adventure']",15395,89.0,15506.0,245
1174180,Red Dead Redemption 2,42,444220,Asteroid Bounty Hunter,0.089887,2016-02-24,2016,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",227,62.0,228.0,0
1174180,Red Dead Redemption 2,43,1055010,Energy Engine PC Live Wallpaper,0.089747,2019-05-10,2019,"['Design & Illustration', 'Utilities']",325,,0.0,48
1174180,Red Dead Redemption 2,44,1259420,Days Gone,0.089725,2021-05-17,2021,"['Action', 'Adventure']",70158,92.0,70248.0,2803
